PREF,MUNI_CD,MUNI_NAME,SEQ,USE,TRUTH_LON,TRUTH_LAT,IN_MUNI,MUNI_DIST_KM,PAIR_PT,FIT_RES_M,INIT
20,20215,塩尻市,18,1,137.951293,36.145917,True,0.0,93.0,38.0,縮尺固定 0.3001km/pt+2次
20,20217,佐久市,19,5,138.472264,36.250483,True,0.0,26.0,38.0,縮尺固定 0.3001km/pt+2次
20,20220,安曇野市,20,1,137.936718,36.273986,True,0.0,48.1,38.0,縮尺固定 0.3001km/pt+2次
20,20309,佐久穂町,21,1,138.451203,36.158555,True,0.0,9.2,38.0,縮尺固定 0.3001km/pt+2次
20,20362,富士見町,22,1,138.270079,35.94631,True,0.0,9.7,38.0,縮尺固定 0.3001km/pt+2次
20,20363,原村,23,1,138.268221,35.965732,True,0.0,14.5,38.0,縮尺固定 0.3001km/pt+2次
20,20485,白馬村,24,5,137.854716,36.697031,True,0.0,14.1,38.0,縮尺固定 0.3001km/pt+2次
20,20602,栄村,25,1,138.501331,36.984822,True,0.0,8.4,38.0,縮尺固定 0.3001km/pt+2次
23,23104,名古屋市,1,2,136.875649,35.184053,True,0.0,53.8,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23104,名古屋市,2,5,136.892658,35.195809,True,0.0,48.9,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23105,名古屋市,3,2,136.883511,35.162179,True,0.0,13.5,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23111,名古屋市,4,2,136.889932,35.108269,True,0.0,27.0,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23112,名古屋市,5,2,136.935976,35.110976,True,0.0,15.3,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23114,名古屋市,6,3,136.94928,35.055232,True,0.0,11.4,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23115,名古屋市,7,5,136.990089,35.187378,True,0.0,19.5,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23201,豊橋市,8,2,137.39191,34.738652,True,0.0,27.7,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23202,岡崎市,9,5,137.153992,34.976761,True,0.0,15.2,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23203,一宮市,10,5,136.81244,35.320094,True,0.0,34.7,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23203,一宮市,11,1,136.794107,35.312355,True,0.0,85.8,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23203,一宮市,12,3,136.742366,35.309676,True,0.0,61.5,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23203,一宮市,13,2,136.82634,35.347929,True,0.0,35.9,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23203,一宮市,14,3,136.823755,35.295314,True,0.0,55.8,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23203,一宮市,15,3,136.839897,35.268169,True,0.0,56.5,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23203,一宮市,16,1,136.768211,35.309874,True,0.0,66.7,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23204,瀬戸市,17,5,137.094785,35.218239,True,0.0,8.9,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23204,瀬戸市,18,5,137.111876,35.23168,True,0.0,17.4,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23206,春日井市,19,1,136.983691,35.239571,True,0.0,20.7,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23206,春日井市,20,5,136.952417,35.273849,True,0.0,27.2,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23208,津島市,21,5,136.71863,35.178368,True,0.0,59.7,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23215,犬山市,22,5,136.953797,35.331061,True,0.0,27.4,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23219,小牧市,23,3,136.988229,35.282424,True,0.0,13.9,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23222,東海市,24,3,136.908772,35.01981,True,0.0,15.1,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23223,大府市,25,5,136.975292,35.007865,True,0.0,14.9,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23223,大府市,26,3,136.938213,34.999304,True,0.0,58.6,26.0,縮尺固定 0.1766km/pt+アフィン+2次
23,23223,大府市,27,2,136.940138,34.992402,True,0.0,14.3,26.0,縮尺固定 0.1766km/pt+アフィン+2次
