PREF,MUNI_CD,MUNI_NAME,SEQ,ADR,USE_PDF,USE_SRC,GC_LEVEL,GC_METHOD,GC_LAT,GC_LON,TRUTH_LAT,TRUTH_LON,IN_MUNI,ERROR_KM
14,14366,開成町,1,宮台,1,1,town,A_normalize,35.324799,139.122855,35.321314,139.12126,True,0.414
17,17201,金沢市,1,兼六町,2,2,town,A_normalize,36.562953,136.662307,36.560889,136.664839,True,0.322
17,17201,金沢市,2,打木町地内,2,2,town,A_normalize,36.567622,136.566580,36.562847,136.574425,True,0.879
17,17202,七尾市,3,中島町田岸地内,5,5,town,A_normalize,37.162593,136.872745,37.178093,136.854978,False,2.334
17,17203,小松市,4,新町,5,5,town,A_normalize,36.410519,136.452015,36.409559,136.451575,True,0.114
17,17203,小松市,5,北浅井町,5,5,town,A_normalize,36.390331,136.463061,36.390179,136.45398,True,0.813
17,17203,小松市,6,末広町地内,5,5,town,A_normalize,36.400877,136.441678,36.401492,136.441293,True,0.077
17,17209,かほく市,7,高松(南新町)地内,5,5,town,A_normalize,36.766923,136.718787,36.766199,136.725703,True,0.621
17,17209,かほく市,8,秋浜地内,2,2,town,A_normalize,36.729045,136.696116,36.728661,136.696192,True,0.043
17,17209,かほく市,9,内日角地内,4,4,town,A_normalize,36.706022,136.700525,36.711469,136.701364,True,0.61
17,17210,白山市,10,乾町地内,5,5,town,A_normalize,36.523661,136.583048,36.524778,136.582882,True,0.125
17,17210,白山市,11,福増町地内,5,5,town,A_normalize,36.542001,136.577888,36.546465,136.575017,True,0.559
17,17211,能美市,12,下ノ江町,5,5,town,A_normalize,36.440049,136.457107,36.437047,136.45577,True,0.355
17,17211,能美市,13,三ツ口町地内,3,3,town,A_normalize,36.456687,136.577083,36.457114,136.577823,True,0.081
17,17211,能美市,14,中ノ江町,5,5,town,A_normalize,36.440038,136.467571,36.436949,136.464063,True,0.465
17,17361,津幡町,15,南中条,5,5,town,A_normalize,36.655313,136.729008,36.657539,136.725131,True,0.425
17,17386,宝達志水町,16,杉野屋,3,3,town,A_normalize,36.877520,136.822499,36.884939,136.799725,True,2.187
17,17407,中能登町,17,井田,4,4,town,A_normalize,36.957987,136.915117,36.991054,136.915433,True,3.677
17,17407,中能登町,18,羽坂地内,4,4,town,A_normalize,36.994608,136.908921,36.963124,136.8934,True,3.763
17,17407,中能登町,19,羽坂地内,5,5,town,A_normalize,36.994608,136.908921,36.99787,136.908178,True,0.369
17,17407,中能登町,20,久乃木地内,3,3,town,A_normalize,36.990051,136.943475,36.995322,136.927604,True,1.527
17,17407,中能登町,21,小竹地内,4,4,town,A_normalize,36.947891,136.912290,36.958481,136.904417,True,1.37
17,17407,中能登町,22,水白地内,4,4,town,A_normalize,36.955376,136.891583,36.95869,136.891435,True,0.369
17,17407,中能登町,23,瀬戸地内,5,5,town,A_normalize,37.013616,136.867719,37.005012,136.880508,True,1.485
17,17407,中能登町,24,東馬場地内,4,4,town,A_normalize,36.966353,136.892774,36.960014,136.901672,True,1.059
18,18202,敦賀市,1,東洋町1番1号,3,3,town,A_normalize,35.640147,136.067611,35.638968,136.057029,True,0.965
20,20201,長野市,1,川合新田,2,2,town,A_normalize,36.622899,138.206454,36.622988,138.201782,True,0.417
20,20201,長野市,2,南長野地内,5,5,town,A_normalize,36.649947,138.184107,36.648866,138.185141,True,0.152
20,20202,松本市,3,梓川倭,1,1,town,A_normalize,36.232167,137.892428,36.236783,137.890122,True,0.553
20,20202,松本市,4,県1丁目(県の森公園),2,2,town,A_normalize,36.233394,137.982176,36.230915,137.96482,True,1.581
20,20202,松本市,5,寿豊丘,4,4,town,A_normalize,36.184231,137.979598,36.184407,137.972614,True,0.627
20,20202,松本市,6,渚1丁目,1,2,town,A_normalize,36.234551,137.956576,36.231674,137.956384,True,0.32
20,20202,松本市,7,深志1丁目,2,2,town,A_normalize,36.229674,137.965969,36.233344,137.983945,True,1.663
20,20202,松本市,8,島立,2,2,town,A_normalize,36.223511,137.936509,36.219489,137.936439,True,0.447
20,20203,上田市,9,常田1丁目,2,2,town,A_normalize,36.392941,138.254160,36.391687,138.255867,True,0.207
20,20210,駒ヶ根市,10,中沢,6,6,town,A_normalize,35.720444,138.015304,35.733405,138.032609,True,2.125
20,20212,大町市,11,大町,3,3,town,A_normalize,36.524630,137.870628,36.48789,137.856004,True,4.289
