MUNI_CD,pref,county,city,ward,lon,lat
05207,秋田県,,湯沢市,,140.494683,39.164074
05209,秋田県,,鹿角市,,140.788519,40.215789
05210,秋田県,,由利本荘市,,140.048819,39.385814
05211,秋田県,,潟上市,,140.013054,39.857248
05212,秋田県,,大仙市,,140.475448,39.45309
05213,秋田県,,北秋田市,,140.370728,40.226046
05214,秋田県,,にかほ市,,139.907649,39.203067
05215,秋田県,,仙北市,,140.730728,39.700044
05303,秋田県,鹿角郡,小坂町,,140.736191,40.332926
05327,秋田県,北秋田郡,上小阿仁村,,140.295736,40.063263
05346,秋田県,山本郡,藤里町,,140.261879,40.278399
05348,秋田県,山本郡,三種町,,140.004981,40.101615
05349,秋田県,山本郡,八峰町,,140.038618,40.318715
05361,秋田県,南秋田郡,五城目町,,140.111309,39.943895
05363,秋田県,南秋田郡,八郎潟町,,140.073335,39.949355
05366,秋田県,南秋田郡,井川町,,140.081265,39.914188
05368,秋田県,南秋田郡,大潟村,,139.960064,40.017788
05434,秋田県,仙北郡,美郷町,,140.582127,39.461633
05463,秋田県,雄勝郡,羽後町,,140.412881,39.199323
05464,秋田県,雄勝郡,東成瀬村,,140.648892,39.179185
06201,山形県,,山形市,,140.339605,38.255436
06202,山形県,,米沢市,,140.116683,37.922242
06203,山形県,,鶴岡市,,139.826725,38.727183
06204,山形県,,酒田市,,139.836513,38.914386
06205,山形県,,新庄市,,140.301664,38.76496
06206,山形県,,寒河江市,,140.276068,38.380954
06207,山形県,,上山市,,140.26783,38.149562
06208,山形県,,村山市,,140.38038,38.483352
06209,山形県,,長井市,,140.03404,38.105998
06210,山形県,,天童市,,140.377802,38.362177
06211,山形県,,東根市,,140.391021,38.431292
06212,山形県,,尾花沢市,,140.406824,38.601071
06213,山形県,,南陽市,,140.148309,38.055116
06301,山形県,東村山郡,山辺町,,140.26218,38.289217
06302,山形県,東村山郡,中山町,,140.283051,38.333122
06321,山形県,西村山郡,河北町,,140.31431,38.426276
06322,山形県,西村山郡,西川町,,140.147661,38.426487
06323,山形県,西村山郡,朝日町,,140.145924,38.299293
06324,山形県,西村山郡,大江町,,140.206793,38.380713
06341,山形県,北村山郡,大石田町,,140.372647,38.593877
06361,山形県,最上郡,金山町,,140.339367,38.88344
06362,山形県,最上郡,最上町,,140.519359,38.75846700000001
06363,山形県,最上郡,舟形町,,140.319988,38.691417
06364,山形県,最上郡,真室川町,,140.251567,38.856933
06365,山形県,最上郡,大蔵村,,140.230368,38.704121
06366,山形県,最上郡,鮭川村,,140.222007,38.796455
06367,山形県,最上郡,戸沢村,,140.143569,38.737601
